Signature,Turn,Word,Length,Signature Commonality
0-4,20,tx,2,14
0-4,23,wa,2,14
0-5,1,af,2,17
0-5,2,bg,2,17
0-5,3,ch,2,17
0-5,4,di,2,17
0-5,7,gl,2,17
0-5,8,hm,2,17
0-5,25,yd,2,17
0-5,9,in,2,17
0-5,10,jo,2,17
0-5,13,mr,2,17
0-5,14,ns,2,17
0-5,15,ot,2,17
0-5,16,pu,2,17
0-5,17,qv,2,17
0-5,22,va,2,17
0-5,23,wb,2,17
0-5,24,xc,2,17
0-6-14,1,ago,3,2
0-6-14,2,bhp,3,2
0-7,1,ah,2,14
0-7,2,bi,2,14
0-7,4,dk,2,14
0-7,5,el,2,14
0-7,6,fm,2,14
0-7,7,gn,2,14
0-7,8,ho,2,14
0-7,11,kr,2,14
0-7,12,ls,2,14
0-7,13,mt,2,14
0-7,14,nu,2,14
0-7,20,ta,2,14
0-7,22,vc,2,14
0-7,23,wd,2,14
0-23,1,ax,2,18
0-23,2,by,2,18
0-23,4,da,2,18
0-23,6,fc,2,18
0-23,7,gd,2,18
0-23,8,he,2,18
0-23,9,if,2,18
0-23,10,jg,2,18
0-23,12,li,2,18
0-23,15,ol,2,18
0-23,16,pm,2,18
0-23,17,qn,2,18
0-23,18,ro,2,18
0-23,19,sp,2,18
0-23,21,ur,2,18
0-23,22,vs,2,18
0-23,23,wt,2,18
0-23,24,xu,2,18
0-7-0,1,aha,3,4
0-7-0,2,bib,3,4
0-7-0,14,nun,3,4
0-7-0,20,tat,3,4
0-7-8-13-19,1,ahint,5,2
0-7-8-13-19,2,bijou,5,2
0-7-18,1,ahs,3,3
0-7-18,2,bit,3,3
0-7-18,20,tal,3,3
0-10,1,ak,2,16
0-10,2,bl,2,16
0-10,3,cm,2,16
0-10,4,dn,2,16
0-10,5,eo,2,16
0-10,6,fp,2,16
0-10,8,hr,2,16
0-10,25,yi,2,16
0-10,9,is,2,16
0-10,10,jt,2,16
0-10,12,lv,2,16
0-10,13,mw,2,16
0-10,15,oy,2,16
0-10,19,sc,2,16
0-10,20,td,2,16
0-10,23,wg,2,16
0-11,1,al,2,18
0-11,2,bm,2,18
0-11,4,do,2,18
0-11,5,ep,2,18
0-11,7,gr,2,18
0-11,8,hs,2,18
0-11,9,it,2,18
0-11,10,ju,2,18
0-11,11,kv,2,18
0-11,14,ny,2,18
0-11,15,oz,2,18
0-11,16,pa,2,18
0-11,18,rc,2,18
0-11,19,sd,2,18
0-11,20,te,2,18
0-11,22,vg,2,18
0-11,23,wh,2,18
0-11,24,xi,2,18
0-12,1,am,2,15
0-12,2,bn,2,15
0-12,3,co,2,15
0-12,4,dp,2,15
0-12,5,eq,2,15
0-12,6,fr,2,15
0-12,7,gs,2,15
0-12,8,ht,2,15
0-12,11,kw,2,15
0-12,12,lx,2,15
0-12,13,my,2,15
0-12,18,rd,2,15
0-12,19,se,2,15
0-12,21,ug,2,15
0-12,23,wi,2,15
0-12-4,1,ame,3,4
0-12-4,2,bnf,3,4
0-12-4,3,cog,3,4
0-12-4,19,sew,3,4
0-13,1,an,2,17
0-13,2,bo,2,17
0-13,3,cp,2,17
0-13,5,er,2,17
0-13,6,fs,2,17
0-13,7,gt,2,17
0-13,8,hu,2,17
0-13,9,iv,2,17
0-13,12,ly,2,17
0-13,14,na,2,17
0-13,15,ob,2,17
0-13,16,pc,2,17
0-13,18,re,2,17
0-13,19,sf,2,17
0-13,20,tg,2,17
0-13,21,uh,2,17
0-13,22,vi,2,17
0-13-0,1,ana,3,6
0-13-0,2,bob,3,6
0-13-0,5,ere,3,6
0-13-0,8,huh,3,6
0-13-0,14,nan,3,6
0-13-0,20,tgt,3,6
0-13-0-13,1,anan,4,4
0-13-0-13,2,bobo,4,4
0-13-0-13,5,erer,4,4
0-13-0-13,14,nana,4,4
0-13-2,1,anc,3,6
0-13-2,2,bod,3,6
0-13-2,5,erg,3,6
0-13-2,12,lyn,3,6
0-13-2,14,nap,3,6
0-13-2,18,ret,3,6
0-13-3,1,and,3,3
0-13-3,2,boe,3,3
0-13-3,8,huk,3,3
0-13-13,1,ann,3,8
0-13-13,2,boo,3,8
0-13-13,5,err,3,8
0-13-13,7,gtt,3,8
0-13-13,14,naa,3,8
0-13-13,15,obb,3,8
0-13-13,18,ree,3,8
0-13-13,22,vii,3,8
0-13-13-0,1,anna,4,2
0-13-13-0,2,boob,4,2
0-13-13-4,1,anne,4,2
0-13-13-4,2,boof,4,2
0-13-18,1,ans,3,6
0-13-18,2,bot,3,6
0-13-18,3,cpu,3,6
0-13-18,9,iva,3,6
0-13-18,14,naf,3,6
0-13-18,22,vin,3,6
0-13-19-4-4-3,1,anteed,6,2
0-13-19-4-4-3,2,bouffe,6,2
0-13-19-18,1,ants,4,2
0-13-19-18,2,bout,4,2
0-14,1,ao,2,22
0-14,2,bp,2,22
0-14,3,cq,2,22
0-14,4,dr,2,22
0-14,5,es,2,22
0-14,6,ft,2,22
0-14,7,gu,2,22
0-14,8,hv,2,22
0-14,25,ym,2,22
0-14,9,iw,2,22
0-14,11,ky,2,22
0-14,13,ma,2,22
0-14,14,nb,2,22
0-14,15,oc,2,22
0-14,16,pd,2,22
0-14,17,qe,2,22
0-14,18,rf,2,22
0-14,19,sg,2,22
0-14,20,th,2,22
0-14,21,ui,2,22
0-14,23,wk,2,22
0-14,0,zn,2,22
0-14-17,1,aor,3,4
0-14-17,2,bps,3,4
0-14-17,8,hvy,3,4
0-14-17,13,mad,3,4
0-16,1,aq,2,17
0-16,2,br,2,17
0-16,3,cs,2,17
0-16,4,dt,2,17
0-16,5,eu,2,17
0-16,6,fv,2,17
0-16,25,yo,2,17
0-16,11,ka,2,17
0-16,12,lb,2,17
0-16,13,mc,2,17
0-16,14,nd,2,17
0-16,15,oe,2,17
0-16,16,pf,2,17
0-16,18,rh,2,17
0-16,19,si,2,17
0-16,22,vl,2,17
0-16,23,wm,2,17
0-17,1,ar,2,15
0-17,2,bs,2,15
0-17,3,ct,2,15
0-17,4,du,2,15
0-17,6,fw,2,15
0-17,8,hy,2,15
0-17,10,ja,2,15
0-17,11,kb,2,15
0-17,12,lc,2,15
0-17,13,md,2,15
0-17,14,ne,2,15
0-17,15,of,2,15
0-17,16,pg,2,15
0-17,17,qh,2,15
0-17,20,tk,2,15
0-17-4,1,are,3,5
0-17-4,2,bsf,3,5
0-17-4,3,ctg,3,5
0-17-4,10,jan,3,5
0-17-4,18,riv,3,5
0-17-6,1,arg,3,6
0-17-6,2,bsh,3,6
0-17-6,10,jap,3,6
0-17-6,14,net,3,6
0-17-6,18,rix,3,6
0-17-6,21,ula,3,6
0-18,1,as,2,13
0-18,2,bt,2,13
0-18,3,cu,2,13
0-18,5,ew,2,13
0-18,9,ia,2,13
0-18,11,kc,2,13
0-18,12,ld,2,13
0-18,13,me,2,13
0-18,15,og,2,13
0-18,16,ph,2,13
0-18,19,sk,2,13
0-18,21,um,2,13
0-18,23,wo,2,13
0-18-10,1,ask,3,6
0-18-10,2,btl,3,6
0-18-10,3,cum,3,6
0-18-10,13,mew,3,6
0-18-10,21,ume,3,6
0-18-10,23,wog,3,6
0-18-19,1,ast,3,4
0-18-19,2,btu,3,4
0-18-19,16,phi,3,4
0-18-19,23,wop,3,4
0-19,1,at,2,18
0-19,2,bu,2,18
0-19,3,cv,2,18
0-19,5,ex,2,18
0-19,6,fy,2,18
0-19,8,ha,2,18
0-19,9,ib,2,18
0-19,25,yr,2,18
0-19,12,le,2,18
0-19,13,mf,2,18
0-19,14,ng,2,18
0-19,15,oh,2,18
0-19,16,pi,2,18
0-19,19,sl,2,18
0-19,20,tm,2,18
0-19,21,un,2,18
0-19,22,vo,2,18
0-19,0,zs,2,18
0-19-0,1,ata,3,5
0-19-0,2,bub,3,5
0-19-0,8,hah,3,5
0-19-0,15,oho,3,5
0-19-0,16,pip,3,5
0-19-0-17,1,atar,4,2
0-19-0-17,2,bubs,4,2
0-19-4-13,1,aten,4,2
0-19-4-13,2,bufo,4,2
0-19-10-0,1,atka,4,2
0-19-10-0,2,bulb,4,2
0-19-11-4,1,atle,4,2
0-19-11-4,2,bumf,4,2
0-19-12,1,atm,3,5
0-19-12,2,bun,3,5
0-19-12,8,hat,3,5
0-19-12,12,lex,3,5
0-19-12,21,ung,3,5
0-20-18,1,aus,3,3
0-20-18,2,bvt,3,3
0-20-18,7,gay,3,3
0-22,1,aw,2,20
0-22,2,bx,2,20
0-22,3,cy,2,20
0-22,4,dz,2,20
0-22,5,ea,2,20
0-22,6,fb,2,20
0-22,8,hd,2,20
0-22,9,ie,2,20
0-22,11,kg,2,20
0-22,12,lh,2,20
0-22,13,mi,2,20
0-22,14,nj,2,20
0-22,15,ok,2,20
0-22,16,pl,2,20
0-22,17,qm,2,20
0-22,18,rn,2,20
0-22,19,so,2,20
0-22,20,tp,2,20
0-22,22,vr,2,20
0-22,23,ws,2,20
0-24,1,ay,2,16
0-24,2,bz,2,16
0-24,3,ca,2,16
0-24,4,db,2,16
0-24,5,ec,2,16
0-24,7,ge,2,16
0-24,8,hf,2,16
0-24,11,ki,2,16
0-24,13,mk,2,16
0-24,14,nl,2,16
0-24,15,om,2,16
0-24,19,sq,2,16
0-24,20,tr,2,16
0-24,21,us,2,16
0-24,22,vt,2,16
0-24,23,wu,2,16
0-24-4,1,aye,3,3
0-24-4,3,cag,3,3
0-24-4,15,oms,3,3
0-24-20,1,ayu,3,3
0-24-20,3,caw,3,3
0-24-20,11,kie,3,3
0-0-10,2,bbl,3,2
0-0-10,3,ccm,3,2
0-1,1,ab,2,17
0-1,3,cd,2,17
0-1,4,de,2,17
0-1,5,ef,2,17
0-1,6,fg,2,17
0-1,8,hi,2,17
0-1,11,kl,2,17
0-1,12,lm,2,17
0-1,13,mn,2,17
0-1,14,no,2,17
0-1,15,op,2,17
0-1,16,pq,2,17
0-1,17,qr,2,17
0-1,18,rs,2,17
0-1,19,st,2,17
0-1,20,tu,2,17
0-1,0,za,2,17
0-1-3,1,abd,3,5
0-1-3,3,cdf,3,5
0-1-3,4,deg,3,5
0-1-3,11,kln,3,5
0-1-3,0,zac,3,5
0-1-15,1,abp,3,5
0-1-15,3,cdr,3,5
0-1-15,4,des,3,5
0-1-15,5,eft,3,5
0-1-15,20,tui,3,5
0-2-2,1,acc,3,5
0-2-2,3,cee,3,5
0-2-2,5,egg,3,5
0-2-2,13,moo,3,5
0-2-2,19,suu,3,5
0-2-7-24,1,achy,4,2
0-2-7-24,3,ceja,4,2
0-3-1,2,bec,3,5
0-3-1,3,cfd,3,5
0-3-1,6,fig,3,5
0-3-1,17,qtr,3,5
0-3-1,18,rus,3,5
0-3-5,2,beg,3,4
0-3-5,3,cfh,3,4
0-3-5,12,loq,3,4
0-3-5,15,ort,3,4
0-3-10,2,bel,3,6
0-3-10,3,cfm,3,6
0-3-10,6,fip,3,6
0-3-10,15,ory,3,6
0-3-10,18,rub,3,6
0-3-10,19,svc,3,6
0-3-16,2,ber,3,5
0-3-16,3,cfs,3,5
0-3-16,12,lob,3,5
0-3-16,15,ore,3,5
0-3-16,16,psf,3,5
0-4-16,1,aeq,3,4
0-4-16,3,cgs,3,4
0-4-16,11,koa,3,4
0-4-16,15,ose,3,4
0-6-24,1,agy,3,4
0-6-24,3,cia,3,4
0-6-24,6,fld,3,4
0-6-24,25,yew,3,4
0-22-0,1,awa,3,4
0-22-0,3,cyc,3,4
0-22-0,13,mim,3,4
0-22-0,19,sos,3,4
0-6-2,2,bhd,3,3
0-6-2,3,cie,3,3
0-6-2,25,yea,3,3
0-6-4,1,age,3,3
0-6-4,3,cig,3,3
0-6-4,16,pvt,3,3
0-22-13,1,awn,3,3
0-22-13,3,cyp,3,3
0-22-13,5,ear,3,3
0-6-17,1,agr,3,5
0-6-17,3,cit,3,5
0-6-17,8,hny,3,5
0-6-17,25,yep,3,5
0-6-17,15,ouf,3,5
0-6-19,1,agt,3,5
0-6-19,3,civ,3,5
0-6-19,6,fly,3,5
0-6-19,25,yer,3,5
0-6-19,19,syl,3,5
0-8,1,ai,2,19
0-8,3,ck,2,19
0-8,4,dl,2,19
0-8,5,em,2,19
0-8,6,fn,2,19
0-8,7,go,2,19
0-8,8,hp,2,19
0-8,9,iq,2,19
0-8,10,jr,2,19
0-8,12,lt,2,19
0-8,13,mu,2,19
0-8,14,nv,2,19
0-8,15,ow,2,19
0-8,17,qy,2,19
0-8,19,sa,2,19
0-8,20,tb,2,19
0-8,21,uc,2,19
0-8,22,vd,2,19
0-8,23,we,2,19
0-9,2,bk,2,18
0-9,3,cl,2,18
0-9,4,dm,2,18
0-9,5,en,2,18
0-9,6,fo,2,18
0-9,7,gp,2,18
0-9,8,hq,2,18
0-9,9,ir,2,18
0-9,10,js,2,18
0-9,11,kt,2,18
0-9,12,lu,2,18
0-9,13,mv,2,18
0-9,15,ox,2,18
0-9,18,ra,2,18
0-9,19,sb,2,18
0-9,20,tc,2,18
0-9,21,ud,2,18
0-9,23,wf,2,18
0-10-9,2,blk,3,3
0-10-9,3,cml,3,3
0-10-9,5,eon,3,3
0-12-24-11,1,amyl,4,2
0-12-24-11,3,coan,4,2
0-12-0-24,1,amay,4,2
0-12-0-24,3,coca,4,2
0-12-0-17,1,amar,4,2
0-12-0-17,3,coct,4,2
0-12-1,1,amb,3,3
0-12-1,3,cod,3,3
0-12-1,19,set,3,3
0-12-8-2,1,amic,4,2
0-12-8-2,3,coke,4,2
0-12-11-0,1,amla,4,2
0-12-11-0,3,conc,4,2
0-12-11-8,1,amli,4,2
0-12-11-8,3,conk,4,2
0-12-12-8,1,ammi,4,2
0-12-12-8,3,cook,4,2
0-12-15,1,amp,3,3
0-12-15,3,cor,3,3
0-12-15,15,oad,3,3
0-12-20,1,amu,3,4
0-12-20,3,cow,3,4
0-12-20,13,myg,3,4
0-12-20,19,sem,3,4
0-13-1,2,boc,3,6
0-13-1,3,cpd,3,6
0-13-1,5,erf,3,6
0-13-1,8,hui,3,6
0-13-1,12,lym,3,6
0-13-1,18,res,3,6
0-13-6,2,boh,3,7
0-13-6,3,cpi,3,7
0-13-6,5,erk,3,7
0-13-6,8,hun,3,7
0-13-6,14,nat,3,7
0-13-6,18,rex,3,7
0-13-6,23,wjc,3,7
0-13-10,2,bol,3,3
0-13-10,3,cpm,3,3
0-13-10,18,reb,3,3
0-13-12,2,bon,3,5
0-13-12,3,cpo,3,5
0-13-12,8,hut,3,5
0-13-12,15,oba,3,5
0-13-12,18,red,3,5
0-13-16,2,bor,3,8
0-13-16,3,cps,3,8
0-13-16,9,ivy,3,8
0-13-16,14,nad,3,8
0-13-16,15,obe,3,8
0-13-16,16,pcf,3,8
0-13-16,18,reh,3,8
0-13-16,22,vil,3,8
0-13-17,2,bos,3,6
0-13-17,3,cpt,3,6
0-13-17,12,lyc,3,6
0-13-17,14,nae,3,6
0-13-17,18,rei,3,6
0-13-17,22,vim,3,6
0-15,1,ap,2,18
0-15,3,cr,2,18
0-15,4,ds,2,18
0-15,5,et,2,18
0-15,6,fu,2,18
0-15,7,gv,2,18
0-15,8,hw,2,18
0-15,25,yn,2,18
0-15,9,ix,2,18
0-15,12,la,2,18
0-15,13,mb,2,18
0-15,15,od,2,18
0-15,16,pe,2,18
0-15,18,rg,2,18
0-15,19,sh,2,18
0-15,20,ti,2,18
0-15,23,wl,2,18
0-15,0,zo,2,18
0-15-0,1,apa,3,4
0-15-0,3,crc,3,4
0-15-0,16,pep,3,4
0-15-0,20,tit,3,4
0-16-13,2,bro,3,4
0-16-13,3,csp,3,4
0-16-13,16,pfc,3,4
0-16-13,18,rhe,3,4
0-17-2,1,arc,3,5
0-17-2,3,cte,3,5
0-17-2,5,evg,3,5
0-17-2,14,nep,3,5
0-17-2,18,rit,3,5
0-17-12,1,arm,3,4
0-17-12,3,cto,3,4
0-17-12,4,dup,3,4
0-17-12,18,rid,3,4
0-18-1,1,asb,3,3
0-18-1,3,cud,3,3
0-18-1,13,men,3,3
0-18-6-3,1,asgd,4,2
0-18-6-3,3,cuif,4,2
0-18-7,1,ash,3,5
0-18-7,3,cuj,3,5
0-18-7,7,gyn,3,5
0-18-7,13,met,3,5
0-18-7,23,wod,3,5
0-18-15,1,asp,3,2
0-18-15,3,cur,3,2
0-18-15-24,1,aspy,4,3
0-18-15-24,3,cura,4,3
0-18-15-24,7,gyve,4,3
0-20-10,1,auk,3,2
0-20-10,3,cwm,3,2
0-20-12,1,aum,3,4
0-20-12,3,cwo,3,4
0-20-12,7,gas,3,4
0-20-12,18,rld,3,4
0-23-24-15,3,czar,4,3
0-23-24-15,4,dabs,4,3
0-23-24-15,12,lija,4,3
0-23-0-11,1,axal,4,2
0-23-0-11,4,dado,4,2
0-23-3,2,bye,3,2
0-23-3,4,dag,3,2
0-23-4,1,axe,3,5
0-23-4,4,dah,3,5
0-23-4,8,hel,3,5
0-23-4,12,lip,3,5
0-23-4,16,pmt,3,5
0-23-10-25-21,2,bylaw,5,2
0-23-10-25-21,4,dancy,5,2
0-23-14,2,byp,3,4
0-23-14,4,dar,3,4
0-23-14,12,liz,3,4
0-23-14,21,uri,3,4
0-23-17,2,bys,3,4
0-23-17,4,dau,3,4
0-23-17,8,hey,3,4
0-23-17,18,roi,3,4
0-25-23,2,bay,3,5
0-25-23,4,dca,3,5
0-25-23,6,fec,3,5
0-25-23,10,jig,3,5
0-25-23,16,pom,3,5
0-1-24,1,aby,3,5
0-1-24,4,deb,3,5
0-1-24,14,nol,3,5
0-1-24,20,tur,3,5
0-1-24,0,zax,3,5
0-1-1,1,abb,3,5
0-1-1,4,dee,3,5
0-1-1,5,eff,3,5
0-1-1,14,noo,3,5
0-1-1,15,opp,3,5
0-1-1-0,1,abba,4,3
0-1-1-0,4,deed,4,3
0-1-1-0,14,noon,4,3
0-1-21,1,abv,3,3
0-1-21,4,dey,3,3
0-1-21,8,hic,3,3
0-1-8-1,1,abib,4,4
0-1-8-1,4,dele,4,4
0-1-8-1,14,novo,4,4
0-1-8-1,19,stat,4,4
0-1-8-12-4,1,abime,5,2
0-1-8-12-4,4,delph,5,2
0-1-14,1,abo,3,7
0-1-14,4,der,3,7
0-1-14,5,efs,3,7
0-1-14,13,mna,3,7
0-1-14,14,nob,3,7
0-1-14,19,stg,3,7
0-1-14,0,zan,3,7
0-1-14-18,1,abos,4,2
0-1-14-18,4,derv,4,2
0-1-17-8,1,abri,4,2
0-1-17-8,4,deul,4,2
0-1-18,1,abs,3,4
0-1-18,4,dev,3,4
0-1-18,19,stk,3,4
0-1-18,0,zar,3,4
0-1-19,1,abt,3,5
0-1-19,4,dew,3,5
0-1-19,8,hia,3,5
0-1-19,14,nog,3,5
0-1-19,20,tum,3,5
0-1-20,1,abu,3,6
0-1-20,4,dex,3,6
0-1-20,14,noh,3,6
0-1-20,19,stm,3,6
0-1-20,20,tun,3,6
0-1-20,0,zat,3,6
0-4-17,1,aer,3,5
0-4-17,4,dhu,3,5
0-4-17,11,kob,3,5
0-4-17,16,ptg,3,5
0-4-17,23,wan,3,5
0-21,1,av,2,16
0-21,4,dy,2,16
0-21,6,fa,2,16
0-21,9,id,2,16
0-21,25,yt,2,16
0-21,12,lg,2,16
0-21,13,mh,2,16
0-21,14,ni,2,16
0-21,16,pk,2,16
0-21,17,ql,2,16
0-21,18,rm,2,16
0-21,19,sn,2,16
0-21,20,to,2,16
0-21,21,up,2,16
0-21,23,wr,2,16
0-21,24,xs,2,16
0-5-24,3,cha,3,6
0-5-24,4,dib,3,6
0-5-24,9,ing,3,6
0-5-24,16,pun,3,6
0-5-24,20,tyr,3,6
0-5-24,22,vat,3,6
0-5-24-15,3,char,4,2
0-5-24-15,4,dibs,4,2
0-5-1,1,afb,3,4
0-5-1,4,die,3,4
0-5-1,22,vaw,3,4
0-5-1,0,zea,3,4
0-5-2,3,che,3,5
0-5-2,4,dif,3,5
0-5-2,9,ink,3,5
0-5-2,16,pur,3,5
0-5-2,22,vax,3,5
0-5-2-2,3,chee,4,4
0-5-2-2,4,diff,4,4
0-5-2-2,10,joll,4,4
0-5-2-2,16,purr,4,4
0-5-3,1,afd,3,3
0-5-3,4,dig,3,3
0-5-3,16,pus,3,3
0-5-9-12-15,3,chlor,5,2
0-5-9-12-15,4,dimps,5,2
0-5-10,3,chm,3,4
0-5-10,4,din,3,4
0-5-10,9,ins,3,4
0-5-10,10,jot,3,4
0-5-10-11,3,chmn,4,3
0-5-10-11,4,dino,4,3
0-5-10-11,9,inst,4,3
0-5-12,3,cho,3,5
0-5-12,4,dip,3,5
0-5-12,16,pub,3,5
0-5-12,18,rwd,3,5
0-5-12,0,zel,3,5
0-5-12-8,3,chok,4,2
0-5-12-8,4,dipl,4,2
0-5-16,3,chs,3,4
0-5-16,4,dit,3,4
0-5-16,22,val,3,4
0-5-16,0,zep,3,4
0-5-18-1,3,chud,4,2
0-5-18-1,4,dive,4,2
0-6,1,ag,2,12
0-6,4,dj,2,12
0-6,6,fl,2,12
0-6,7,gm,2,12
0-6,25,ye,2,12
0-6,9,io,2,12
0-6,12,lr,2,12
0-6,13,ms,2,12
0-6,14,nt,2,12
0-6,22,vb,2,12
0-6,23,wc,2,12
0-6,24,xd,2,12
0-7-8,1,ahi,3,8
0-7-8,4,dkl,3,8
0-7-8,5,elm,3,8
0-7-8,8,hop,3,8
0-7-8,11,krs,3,8
0-7-8,12,lst,3,8
0-7-8,20,tab,3,8
0-7-8,21,ubc,3,8
0-11-24,1,aly,3,7
0-11-24,4,dob,3,7
0-11-24,7,gre,3,7
0-11-24,16,pan,3,7
0-11-24,20,ter,3,7
0-11-24,21,ufs,3,7
0-11-24,24,xiv,3,7
0-11-0,1,ala,3,6
0-11-0,4,dod,3,6
0-11-0,12,lwl,3,6
0-11-0,16,pap,3,6
0-11-0,19,sds,3,6
0-11-0,24,xix,3,6
0-11-0-15,1,alap,4,3
0-11-0-15,4,dods,4,3
0-11-0-15,16,pape,4,3
0-11-1,1,alb,3,4
0-11-1,4,doe,3,4
0-11-1,8,hsi,3,4
0-11-1,12,lwm,3,4
0-11-3,1,ald,3,5
0-11-3,4,dog,3,5
0-11-3,12,lwo,3,5
0-11-3,16,pas,3,5
0-11-3,20,tew,3,5
0-11-4,1,ale,3,9
0-11-4,4,doh,3,9
0-11-4,5,epi,3,9
0-11-4,10,jun,3,9
0-11-4,12,lwp,3,9
0-11-4,15,ozs,3,9
0-11-4,16,pat,3,9
0-11-4,20,tex,3,9
0-11-4,23,wha,3,9
0-11-8-23,1,alix,4,3
0-11-8-23,4,dola,4,3
0-11-8-23,23,whet,4,3
0-11-8-5,1,alif,4,2
0-11-8-5,4,doli,4,2
0-11-8-8,1,alii,4,3
0-11-8-8,4,doll,4,3
0-11-8-8,23,whee,4,3
0-11-10,1,alk,3,5
0-11-10,4,don,3,5
0-11-10,9,its,3,5
0-11-10,10,jut,3,5
0-11-10,20,ted,3,5
0-11-11,1,all,3,5
0-11-11,4,doo,3,5
0-11-11,7,grr,3,5
0-11-11,20,tee,3,5
0-11-11,24,xii,3,5
0-11-11-24,1,ally,4,3
0-11-11-24,4,doob,4,3
0-11-11-24,20,teer,4,3
0-11-11-14,1,allo,4,2
0-11-11-14,4,door,4,2
0-11-14,1,alo,3,3
0-11-14,4,dor,3,3
